eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude
797067,ISC,ISC|MOS-MS,1970,4,23,7,18,31.8,0.87,30.01,38.94,2.505,2.8,90,32,6.8,5.03,0.3
797068,ISC,ISC|MOS-MS,1970,4,23,9,1,26.6,0.73,28.65,39.13,1.893,2.4,90,28,5.7,5.83,0.3
797088,ISC,ISC|MOS-MS,1970,4,24,0,40,1.4,0.86,29.85,39.01,2.246,2.9,90,32,6.8,5.35,0.3
797252,ISC,ISC|MOS-MS,1970,4,27,22,24,43,1.6,29.54,39.06,2.671,3,90,11,11,4.95,0.3
797392,ISC,ISC|MOS-MS,1970,4,30,16,44,47,1.4,29.22,39.32,3.775,4.1,90,24,12,5.03,0.3
795337,ISC,ISC|MOS-MS,1970,5,8,2,49,14.6,0.89,29.98,38.93,2.591,2.7,90,20,7.2,5.03,0.3
794468,ISC,ISC|MOS-MS,1970,6,10,5,17,15.5,0.39,29.46,39.15,2.924,3.1,90,43,4.9,4.95,0.3
790102,ISC,ISC|MOS-MS,1970,11,11,20,58,11.9,0.47,28.24,35.99,3,2.338,,35,4.7,5.35,0.3
789338,ISC,ISC|MOS-MS,1970,12,20,11,1,46.8,0.73,29.24,39.36,1.801,2.3,90,26,5.5,5.43,0.3
787840,ISC,ISC|ATH-ML,1971,1,2,3,25,35.5,1.84,29.0359,37.0651,3.814,3.6,90,6.6,12.4,4.5,0.22
787841,ISC,ISC|ATH-ML,1971,1,2,3,54,20.06,1.38,29.1469,36.8028,13.73,13.2,90,59.7,21.6,4.41,0.22
788000,ISC,ISC|ATH-ML,1971,1,8,22,10,20.28,0.73,26.9123,35.046,7,5.6,,62.7,9.9,4.41,0.22
788305,ISC,ISC|ATH-ML,1971,1,16,15,9,53.33,0.31,26.8952,36.6326,3.314,3.9,90,156.9,3.8,4.13,0.22
788449,ISC,ISC|ATH-ML,1971,1,22,10,32,43.92,0.58,29.3396,38.7514,6.582,5.9,90,0,,4.5,0.22
788476,ISC,ISC|ATH-ML,1971,1,23,11,12,24.61,0.31,26.3096,36.6131,3.5,2.609,,0,,4.03,0.22
788514,ISC,ISC|ATH-ML,1971,1,24,15,27,19.55,0.76,26.6592,36.9516,9.1,6.865,,0,,3.85,0.22
788532,ISC,ISC|ATH-ML,1971,1,25,8,15,16.4,2.43,27.0988,36.1878,24.2,19.31,,0,,4.13,0.22
788533,ATH,ATH|ATH-ML,1971,1,25,8,25,20,,27.3,36.6,,,,15.01,,4.13,0.22
788694,ISC,ISC|ATH-ML,1971,1,29,14,38,15.09,2.06,26.9817,36.5701,21.7,15.92,,0,,4.03,0.22
786787,ISC,ISC|MOS-MS,1971,2,1,1,12,25.92,1.72,30.2784,37.1279,5.1,3.955,,29.8,15.1,4.95,0.3
787543,ISC,ISC|MOS-MS,1971,2,20,7,15,22.79,0.51,29.3909,37.8167,3.334,3.9,90,35.5,5.7,4.95,0.3
787609,ISC,ISC|MOS-MS,1971,2,22,14,27,44.93,0.33,30.2979,37.2411,2.5,1.664,,46.9,3.5,5.19,0.3
785505,ISK,ISK|MOS-MS,1971,4,10,13,21,56.5,,29.1,39,,,,15.01,,4.87,0.3
785577,ISC,ISC|MOS-MS,1971,4,13,12,52,38.72,0.34,29.8021,39.0327,1.95,2.4,90,40.9,3.4,5.19,0.3
784123,ISC,ISC|MOS-MB,1971,5,6,4,24,35.69,0.34,29.7537,39.0397,2.144,2.4,90,33.9,3.7,4.97,0.225
784339,ISC,ISC|ATH-ML,1971,5,12,6,25,15.37,0.9,29.7161,37.6402,2.368,3,90,30.2,6.7,5.9,0.22
784349,ISC,ISC|MOS-MB,1971,5,12,10,10,25.42,0.29,29.7091,37.5103,4.434,4.2,90,29,,5.62,0.225
784361,ISC,ISC|MOS-MB,1971,5,12,12,57,24.99,0.14,29.5987,37.5755,1.934,2.3,90,33.4,,5.71,0.225
784375,ISC,ISC|MOS-MS,1971,5,12,17,12,26.73,0.43,29.9318,37.6001,3.1,2.3,,34.7,4.4,5.27,0.3
784377,ISK,ISK|MOS-MS,1971,5,12,17,47,28,,29.7,37.7,,,,15.01,,5.11,0.3
784383,ISC,ISC|MOS-MB,1971,5,12,19,2,27.09,0.58,29.6955,37.4911,4,4.9,90,40,6.8,5.43,0.225
784388,ISC,ISC|MOS-MS,1971,5,12,20,13,4.89,1.18,29.8637,37.5611,3.1,2.465,,8.2,7.4,5.27,0.3
784406,ISC,ISC|MOS-MS,1971,5,13,4,45,29.11,0.92,29.7824,37.4878,2.476,2.9,90,23.5,7.5,5.11,0.3
784411,ISC,ISC|MOS-MS,1971,5,13,8,14,36.29,0.53,29.9674,37.5625,3.496,4.3,90,34.8,6.1,4.95,0.3
784414,ISC,ISC|MOS-MS,1971,5,13,8,30,23.55,2.26,30.063,37.5936,3.986,4.2,90,13.2,15,4.95,0.3
784432,ISK,ISK|MOS-MS,1971,5,13,13,28,7,,29.7,37.6,,,,15.01,,4.87,0.3
784498,ISK,ISK|MOS-MS,1971,5,14,22,18,23,,29.8,37.6,,,,15.01,,4.95,0.3
784500,ISK,ISK|MOS-MS,1971,5,14,22,51,10,,29.5,37.7,,,,15.01,,5.19,0.3
784583,ISK,ISK|MOS-MS,1971,5,16,9,25,1.4,,29.7,37.6,,,,15.01,,5.35,0.3
784598,ISK,ISK|ATH-ML,1971,5,16,14,41,49,,26.4,38.5,,,,15.01,,3.57,0.22
784654,ISK,ISK|MOS-MS,1971,5,17,14,16,19,,30,37.6,,,,15.01,,5.11,0.3
784793,ISK,ISK|MOS-MS,1971,5,21,9,41,10,,29.5,37.6,,,,15.01,,5.27,0.3
784860,ISK,ISK|MOS-MS,1971,5,23,5,19,8,,30.1,37.6,,,,15.01,,4.79,0.3
784936,ISK,ISK|MOS-MB,1971,5,25,5,43,27,,29.7,39,,,,15.01,,6.27,0.225
783255,ISK,ISK|MOS-MB,1971,6,8,16,59,24.8,,29.8,37.5,,,,15.01,,4.97,0.225
783263,ISK,ISK|MOS-MB,1971,6,8,23,42,55,,29.7,37.6,,,,15.01,,5.15,0.225
783313,ISK,ISK|MOS-MB,1971,6,10,9,31,54,,29.6,39.1,,,,15.01,,4.88,0.225
783587,ISK,ISK|MOS-MB,1971,6,19,0,27,14,,29.4,37.15,,,,15.01,,4.97,0.225
783900,ISK,ISK|MOS-MB,1971,6,28,23,37,39,,29.8,37.5,,,,15.01,,4.97,0.225
783909,ISK,ISK|MOS-MB,1971,6,29,4,26,31,,29.9,37.6,,,,15.01,,4.97,0.225
781862,ISK,ISK|MOS-MS,1971,7,3,4,5,53.8,,27.8,35.1,,,,15.01,,5.27,0.3
781018,ISK,ISK|MOS-MS,1971,8,7,17,7,23.9,,29.7,39,,,,15.01,,4.79,0.3
779092,ISC,ISC|MOS-MS,1971,10,6,1,46,38.79,0.27,30.1435,38.3197,2.974,3.6,90,19,,4.87,0.3
779184,ISC,ISC|MOS-MS,1971,10,9,22,29,14.11,2.6,30.3271,37.2403,4.474,4.4,90,10.5,17.4,4.79,0.3
777051,ISC,ISC|MOS-MB,1972,1,20,0,52,19.41,1.35,27.1457,36.6433,3.643,3.8,90,16.2,11.6,4.51,0.225
777053,ISC,ISC|MOS-MB,1972,1,20,2,15,6.88,0.63,27.2285,36.6376,3.587,4.2,90,34.2,6.6,4.78,0.225
775969,ISC,ISC|ATH-ML,1972,2,4,18,57,3.42,2.2,26.9211,36.1996,23.43,23.8,90,0,,4.22,0.22
776193,ISC,ISC|ATH-ML,1972,2,14,4,4,20.68,2.83,27.2435,36.5982,29.1,20.34,,0,,4.5,0.22
776243,ISC,ISC|ATH-ML,1972,2,16,12,48,29.44,0.43,25.5583,38.4465,3.932,4.2,90,0,,4.03,0.22
776281,ISC,ISC|ATH-ML,1972,2,17,19,13,28.67,1.28,26.2431,34.7691,4.8,3.738,,1.7,8.2,4.41,0.22
776285,ISC,ISC|ATH-ML,1972,2,17,23,55,25.47,2.22,27.5067,36.4686,20.29,24.5,90,0,,4.03,0.22
776344,ATH,ATH|ATH-ML,1972,2,20,13,48,46,,24.9,36.9,,,,15.01,,3.38,0.22
776352,ISC,ISC|ATH-ML,1972,2,20,19,33,33.1,,25.2132,36.6252,,,,0,,3.29,0.22
774961,ISC,ISC|ATH-ML,1972,3,1,14,26,35.06,2.86,27.1287,37.4878,24.68,28.4,90,0,,3.94,0.22
775274,ISC,ISC|ATH-ML,1972,3,10,15,52,55.47,0.76,25.1181,36.1036,8.968,9,90,100,,3.85,0.22
775276,ISC,ISC|ATH-ML,1972,3,10,22,13,17.84,0.23,26.9758,36.5478,2.9,3,90,149.8,5.7,4.03,0.22
775356,ISC,ISC|ATH-ML,1972,3,14,14,5,46.58,0.26,29.4715,39.3226,1.485,1.8,90,37.7,2.6,5.62,0.22
775525,ISC,ISC|ATH-ML,1972,3,21,1,31,5.95,0.69,28.9429,34.6924,6.454,7.2,90,52.7,6.8,4.87,0.22
775675,ISC,ISC|ATH-ML,1972,3,25,5,56,0.5,1.77,27.8723,36.8602,21.47,15.6,90,0,,4.13,0.22
775677,ISC,ISC|ATH-ML,1972,3,25,6,16,8.75,0.92,27.5136,36.673,9.071,8.9,90,55.1,11.5,4.22,0.22
775831,ATH,ATH|ATH-ML,1972,3,31,8,16,29,,31,37,,,,15.01,,4.78,0.22
775849,ISC,ISC|ATH-ML,1972,3,31,20,4,29.26,0.72,27.3595,36.6826,9.303,8.3,90,0,,4.41,0.22
775850,ISC,ISC|ATH-ML,1972,3,31,20,29,41.95,4.24,26.7459,36.4333,51.52,37.5,90,0,,4.03,0.22
775851,ISC,ISC|ATH-ML,1972,3,31,20,32,1.2,1.53,27.094,36.6223,3.7,4.6,90,18.1,12.6,4.69,0.22
774020,ISC,ISC|ATH-ML,1972,4,1,20,24,53.62,2.94,26.5294,36.5205,24.17,29.2,90,33,,4.5,0.22
774027,ISC,ISC|ATH-ML,1972,4,1,23,26,2.79,3.1,27.542,36.6133,22.92,24.4,90,0,,3.85,0.22
774050,ISC,ISC|ATH-ML,1972,4,2,10,3,36.04,1.2,27.3867,36.6876,11.38,12.8,90,0,,4.13,0.22
774207,ISC,ISC|ATH-ML,1972,4,7,6,31,23.11,1.8,26.6376,37.0095,19.4,18.4,90,120.1,34.4,4.22,0.22
774512,ISC,ISC|ATH-ML,1972,4,16,21,31,13.99,0.43,26.8474,36.465,4.206,4.6,90,136.4,4.4,3.94,0.22
774569,ISC,ISC|ATH-ML,1972,4,18,14,12,36.77,0.4,26.5814,36.292,4.7,3.571,,132.5,3.5,3.94,0.22
773103,ISC,ISC|ATH-ML,1972,5,3,9,44,53.95,2.5,26.5221,36.8907,22.53,24.9,90,0,,4.13,0.22
773538,ATH,ATH|ATH-ML,1972,5,16,16,28,15,,27.5,39,,,,15.01,,4.03,0.22
773885,ISC,ISC|ATH-ML,1972,5,28,3,14,36.17,0.71,30.0364,38.9582,1.967,2.3,90,29.3,5.7,4.78,0.22
772130,ISC,ISC|ATH-ML,1972,6,1,13,1,14.29,2.4,27.117,37.9327,22.67,25.6,90,40.7,56.2,4.13,0.22
772306,ISC,ISC|ATH-ML,1972,6,8,0,29,46.1,0.91,26.8875,35.4596,7.534,8.4,90,47.1,12.3,4.22,0.22
772354,ISC,ISC|ATH-ML,1972,6,9,7,42,20.53,0.57,26.5471,34.7258,3.5,2.729,,40.9,5.4,4.69,0.22
772581,ISC,ISC|ATH-ML,1972,6,16,6,28,25.53,1.22,26.1178,38.5031,14.6,13.1,90,0,,3.66,0.22
772600,ISC,ISC|ATH-ML,1972,6,16,17,32,57.81,0.34,25.9896,38.5714,3.784,3.9,90,0,,4.13,0.22
772749,ISC,ISC|ATH-ML,1972,6,21,19,29,5.37,0.51,26.6862,36.5807,6.2,4.047,,0,,3.75,0.22
772785,ISC,ISC|ATH-ML,1972,6,23,4,25,30.15,1.01,28.895,39.1886,9.774,10.1,90,41.5,25,4.5,0.22
772901,ISC,ISC|ATH-ML,1972,6,26,12,31,58.89,0.38,27.089,35.5878,3.44,4,90,82.8,4.2,4.22,0.22
771634,ISC,ISC|ATH-ML,1972,7,17,3,13,59.23,0.56,27.6318,35.1861,5.525,5.3,90,0,,4.5,0.22
771985,ISC,ISC|ATH-ML,1972,7,28,14,17,53.67,0.18,26.6768,37.3369,2.2,1.63,,0,,3.85,0.22
770314,ISC,ISC|ATH-ML,1972,8,6,10,6,57.07,0.9,27.0883,35.7736,4.405,5,90,7.7,6.3,4.41,0.22
770364,ISC,ISC|ATH-ML,1972,8,8,5,37,6.33,0.45,26.2684,38.3836,4.241,3,90,0,,3.29,0.22
770445,ISC,ISC|ATH-ML,1972,8,10,6,35,57.32,2.43,26.0856,38.1527,24.2,18.5,90,0,,3.66,0.22
770459,ATH,ATH|ATH-ML,1972,8,10,20,56,56,,25,36.8,,,,15.01,,3.29,0.22
770662,ISC,ISC|ATH-ML,1972,8,17,17,7,40.98,0.67,27.1818,35.7095,7.5,4.961,,0,,4.31,0.22
770798,ISC,ISC|ATH-ML,1972,8,22,2,44,8.93,0.97,26.3068,34.8887,8.7,5.619,,58.3,10.7,4.22,0.22
770862,ISC,ISC|ATH-ML,1972,8,23,20,23,56.61,0.75,25.916,38.6621,6.832,7.2,90,0,,3.57,0.22
770864,ISC,ISC|ATH-ML,1972,8,23,21,14,17.35,0.87,25.963,38.6913,4.02,4.2,90,3.1,6.3,3.85,0.22
770908,ISC,ISC|ATH-ML,1972,8,25,0,3,42.71,1.53,25.8268,38.6865,7.6,5.035,,10.8,12.6,3.75,0.22
771064,ISC,ISC|ATH-ML,1972,8,29,2,48,36.89,0.53,29.1438,37.0004,5.463,5.2,90,0,,4.59,0.22
768965,ISC,ISC|ATH-ML,1972,9,3,8,38,46.3,0.95,27.9848,39.1624,2.489,3.1,90,30.4,8.3,4.87,0.22
768973,ISC,ISC|ATH-ML,1972,9,3,9,53,3.53,0.52,27.9803,39.1666,4.598,4.4,90,0,,3.66,0.22
769002,ISC,ISC|ATH-ML,1972,9,3,22,48,48.22,0.78,28.0636,39.0869,3.2,2.9,90,7.1,6,3.75,0.22
769136,ISC,ISC|ATH-ML,1972,9,6,11,31,34.66,0.81,26.721,37.4576,7.081,8.7,90,0,,4.03,0.22
769150,ISC,ISC|ATH-ML,1972,9,6,18,12,27.4,0.42,25.6002,35.5427,4.5,3.263,,86.9,3.7,4.03,0.22
769777,ISC,ISC|ATH-ML,1972,9,22,23,55,38.79,1.16,27.2314,35.7886,10.1,5.508,,0,,4.22,0.22
769784,ISC,ISC|ATH-ML,1972,9,23,2,1,3.89,2.26,27.2445,38.8906,22.31,18.1,90,0,,4.03,0.22
769916,ISC,ISC|ATH-ML,1972,9,25,18,5,30.58,0.35,26.7804,36.5363,3.873,4.3,90,163.4,3.7,3.75,0.22
768034,ISC,ISC|ATH-ML,1972,10,4,6,14,25.84,0.43,29.4383,39.1397,2.94,3.3,90,34.3,5.3,4.59,0.22
768220,ISC,ISC|ATH-ML,1972,10,10,2,23,6.41,0.51,28.0718,35.2814,4.22,4.9,90,55,6.8,4.13,0.22
768288,ISC,ISC|ATH-ML,1972,10,12,6,14,54.32,0.42,26.7514,38.8051,4.068,4,90,0,,3.75,0.22
768618,ISC,ISC|ATH-ML,1972,10,23,9,56,27.46,2.41,26.3247,37.7799,7.817,6.9,90,28.1,22.4,4.41,0.22
766898,ISC,ISC|ATH-ML,1972,11,1,15,43,29.9,0.58,25.5477,36.0223,5.136,5.9,90,0,,3.75,0.22
