# smlt_path=b11,gsimlt_path=b12_b22_b32,imt=SA,investigation_time=50.0,sa_period=2.0,sa_damping=5.0,lon=28.25,lat=36.85,poe=0.1,iml=0.1723835817
Mag,Dist,poe
7.625,195.0,0.0001456368313
7.875,5.0,0.0
7.875,15.0,0.0
7.875,25.0,0.0006272550876
7.875,35.0,0.0009271414597
7.875,45.0,0.0007844702192
7.875,55.0,0.0007122352189
7.875,65.0,0.0008844771472
7.875,75.0,0.0006915714129
7.875,85.0,0.000990825516
7.875,95.0,0.0007641667489
7.875,105.0,0.0009022014811
7.875,115.0,0.00102466736
7.875,125.0,0.0006702495945
7.875,135.0,0.0007479152604
7.875,145.0,0.0006419303136
7.875,155.0,0.0004696093928
7.875,165.0,0.0001272392079
7.875,175.0,0.0002100532419
7.875,185.0,4.461695894e-05
7.875,195.0,0.0001307433058
8.125,5.0,0.0
8.125,15.0,0.0
8.125,25.0,0.0006116614667
8.125,35.0,0.001853153317
8.125,45.0,0.001291131688
8.125,55.0,0.001281772724
8.125,65.0,0.001662925128
8.125,75.0,0.001087898836
8.125,85.0,0.001874358395
8.125,95.0,0.001056686583
8.125,105.0,0.001521958606
8.125,115.0,0.001843776501
8.125,125.0,0.001016202394
8.125,135.0,0.001404748507
8.125,145.0,0.000622501374
8.125,155.0,0.0007509313669
8.125,165.0,8.420469149e-05
8.125,175.0,0.0004104095811
8.125,185.0,4.320865397e-05
8.125,195.0,0.0002981115778
8.375,5.0,0.0
8.375,15.0,2.74394141e-06
8.375,25.0,0.0002897621334
8.375,35.0,0.001484996502
8.375,45.0,0.001104227688
8.375,55.0,0.0009653249163
8.375,65.0,0.001155558801
8.375,75.0,0.0006627767862
8.375,85.0,0.001392389362
8.375,95.0,0.0006432607089
8.375,105.0,0.001089392366
8.375,115.0,0.001313936769
8.375,125.0,0.0005930529417
8.375,135.0,0.001015030649
8.375,145.0,0.0002698805974
8.375,155.0,0.0005504068834
8.375,165.0,7.335324139e-05
8.375,175.0,0.0004480307086
8.375,185.0,1.072837053e-05
8.375,195.0,0.0002946236316
