# smlt_path=b11,gsimlt_path=b12_b22_b32,imt=SA,investigation_time=50.0,sa_period=2.0,sa_damping=5.0,lon=28.25,lat=36.85,poe=0.1,iml=0.1723835817
Mag,Dist,Eps,poe
5.875,25.0,0.0,0.0
5.875,25.0,2.0,4.179168331e-05
5.875,35.0,-2.0,0.0
5.875,35.0,0.0,0.0
5.875,35.0,2.0,0.0
5.875,45.0,-2.0,0.0
5.875,45.0,0.0,0.0
5.875,45.0,2.0,0.0
5.875,55.0,-2.0,0.0
5.875,55.0,0.0,0.0
5.875,55.0,2.0,0.0
5.875,65.0,-2.0,0.0
5.875,65.0,0.0,0.0
5.875,65.0,2.0,0.0
5.875,75.0,-2.0,0.0
5.875,75.0,0.0,0.0
5.875,75.0,2.0,0.0
5.875,85.0,-2.0,0.0
5.875,85.0,0.0,0.0
5.875,85.0,2.0,0.0
5.875,95.0,-2.0,0.0
5.875,95.0,0.0,0.0
5.875,95.0,2.0,0.0
5.875,105.0,-2.0,0.0
5.875,105.0,0.0,0.0
5.875,105.0,2.0,0.0
5.875,115.0,-2.0,0.0
5.875,115.0,0.0,0.0
5.875,115.0,2.0,0.0
5.875,125.0,-2.0,0.0
5.875,125.0,0.0,0.0
5.875,125.0,2.0,0.0
5.875,135.0,-2.0,0.0
5.875,135.0,0.0,0.0
5.875,135.0,2.0,0.0
5.875,145.0,-2.0,0.0
5.875,145.0,0.0,0.0
5.875,145.0,2.0,0.0
5.875,155.0,-2.0,0.0
5.875,155.0,0.0,0.0
5.875,155.0,2.0,0.0
5.875,165.0,-2.0,0.0
5.875,165.0,0.0,0.0
5.875,165.0,2.0,0.0
5.875,175.0,-2.0,0.0
5.875,175.0,0.0,0.0
5.875,175.0,2.0,0.0
5.875,185.0,-2.0,0.0
5.875,185.0,0.0,0.0
5.875,185.0,2.0,0.0
5.875,195.0,-2.0,0.0
5.875,195.0,0.0,0.0
5.875,195.0,2.0,0.0
6.125,5.0,-2.0,0.0
6.125,5.0,0.0,0.000766982677
6.125,5.0,2.0,0.001405920521
6.125,15.0,-2.0,0.0
6.125,15.0,0.0,2.767221341e-08
6.125,15.0,2.0,0.0007112603179
6.125,25.0,-2.0,0.0
6.125,25.0,0.0,0.0
6.125,25.0,2.0,0.001387911826
6.125,35.0,-2.0,0.0
6.125,35.0,0.0,0.0
6.125,35.0,2.0,0.0002022325925
6.125,45.0,-2.0,0.0
6.125,45.0,0.0,0.0
6.125,45.0,2.0,4.415726857e-06
6.125,55.0,-2.0,0.0
6.125,55.0,0.0,0.0
6.125,55.0,2.0,8.025106962e-07
6.125,65.0,-2.0,0.0
6.125,65.0,0.0,0.0
6.125,65.0,2.0,0.0
6.125,75.0,-2.0,0.0
6.125,75.0,0.0,0.0
6.125,75.0,2.0,0.0
6.125,85.0,-2.0,0.0
6.125,85.0,0.0,0.0
6.125,85.0,2.0,0.0
6.125,95.0,-2.0,0.0
6.125,95.0,0.0,0.0
6.125,95.0,2.0,0.0
6.125,105.0,-2.0,0.0
6.125,105.0,0.0,0.0
6.125,105.0,2.0,0.0
6.125,115.0,-2.0,0.0
6.125,115.0,0.0,0.0
6.125,115.0,2.0,0.0
6.125,125.0,-2.0,0.0
6.125,125.0,0.0,0.0
6.125,125.0,2.0,0.0
6.125,135.0,-2.0,0.0
6.125,135.0,0.0,0.0
6.125,135.0,2.0,0.0
6.125,145.0,-2.0,0.0
6.125,145.0,0.0,0.0
6.125,145.0,2.0,0.0
6.125,155.0,-2.0,0.0
6.125,155.0,0.0,0.0
6.125,155.0,2.0,0.0
6.125,165.0,-2.0,0.0
6.125,165.0,0.0,0.0
6.125,165.0,2.0,0.0
6.125,175.0,-2.0,0.0
6.125,175.0,0.0,0.0
6.125,175.0,2.0,0.0
6.125,185.0,-2.0,0.0
6.125,185.0,0.0,0.0
6.125,185.0,2.0,0.0
6.125,195.0,-2.0,0.0
6.125,195.0,0.0,0.0
6.125,195.0,2.0,0.0
6.375,5.0,-2.0,0.0
6.375,5.0,0.0,0.0006079366637
6.375,5.0,2.0,0.0004857117011
6.375,15.0,-2.0,0.0
6.375,15.0,0.0,1.555144714e-05
6.375,15.0,2.0,0.0004191752077
6.375,25.0,-2.0,0.0
6.375,25.0,0.0,0.0
6.375,25.0,2.0,0.001773555548
6.375,35.0,-2.0,0.0
6.375,35.0,0.0,0.0
6.375,35.0,2.0,0.0001288456799
6.375,45.0,-2.0,0.0
6.375,45.0,0.0,0.0
6.375,45.0,2.0,2.134575722e-05
6.375,55.0,-2.0,0.0
6.375,55.0,0.0,0.0
6.375,55.0,2.0,1.291389206e-05
6.375,65.0,-2.0,0.0
6.375,65.0,0.0,0.0
6.375,65.0,2.0,4.392702657e-08
6.375,75.0,-2.0,0.0
6.375,75.0,0.0,0.0
6.375,75.0,2.0,0.0
6.375,85.0,-2.0,0.0
6.375,85.0,0.0,0.0
6.375,85.0,2.0,0.0
6.375,95.0,-2.0,0.0
6.375,95.0,0.0,0.0
6.375,95.0,2.0,0.0
6.375,105.0,-2.0,0.0
6.375,105.0,0.0,0.0
6.375,105.0,2.0,0.0
6.375,115.0,-2.0,0.0
6.375,115.0,0.0,0.0
6.375,115.0,2.0,0.0
6.375,125.0,-2.0,0.0
6.375,125.0,0.0,0.0
6.375,125.0,2.0,0.0
6.375,135.0,-2.0,0.0
6.375,135.0,0.0,0.0
6.375,135.0,2.0,0.0
6.375,145.0,-2.0,0.0
6.375,145.0,0.0,0.0
6.375,145.0,2.0,0.0
6.375,155.0,-2.0,0.0
6.375,155.0,0.0,0.0
6.375,155.0,2.0,0.0
