# smlt_path=b11,gsimlt_path=b12_b22_b32,imt=SA,investigation_time=50.0,sa_period=2.0,sa_damping=5.0,lon=28.25,lat=36.85,poe=0.1,iml=0.1723835817
Lon,Lat,poe
26.25,35.35,0.0
26.25,35.45,0.0
26.25,35.55,0.0
26.25,35.65,0.0
26.25,35.75,0.0
26.25,35.85,0.0
26.25,35.95,0.0
26.25,36.05,0.0
26.25,36.15,0.0
26.25,36.25,0.0
26.25,36.35,0.0
26.25,36.45,0.0
26.25,36.55,0.0
26.25,36.65,0.0
26.25,36.75,0.0
26.25,36.85,0.0
26.25,36.95,0.0
26.25,37.05,0.0
26.25,37.15,0.0
26.25,37.25,0.0
26.25,37.35,0.0
26.25,37.45,0.0
26.25,37.55,0.0
26.25,37.65,0.0
26.25,37.75,0.0
26.25,37.85,0.0
26.25,37.95,0.0
26.25,38.05,0.0
26.25,38.15,0.0
26.25,38.25,0.0
26.25,38.35,0.0
26.25,38.45,0.0
26.25,38.55,0.0
26.25,38.65,0.0
26.35,35.35,0.0
26.35,35.45,0.0
26.35,35.55,0.0
26.35,35.65,0.0
26.35,35.75,0.0
26.35,35.85,0.0
26.35,35.95,0.0
26.35,36.05,0.0
26.35,36.15,0.0
26.35,36.25,0.0
26.35,36.35,0.0
26.35,36.45,0.0
26.35,36.55,1.038275884e-06
26.35,36.65,4.251238588e-06
26.35,36.75,1.297327175e-05
26.35,36.85,4.174125427e-05
26.35,36.95,0.0
26.35,37.05,0.0
26.35,37.15,0.0
26.35,37.25,0.0
26.35,37.35,0.0
26.35,37.45,0.0
26.35,37.55,0.0
26.35,37.65,0.0
26.35,37.75,0.0
26.35,37.85,0.0
26.35,37.95,0.0
26.35,38.05,0.0
26.35,38.15,0.0
26.35,38.25,0.0
26.35,38.35,0.0
26.35,38.45,0.0
26.35,38.55,0.0
26.35,38.65,0.0
26.45,35.35,0.0
26.45,35.45,0.0
26.45,35.55,0.0
26.45,35.65,0.0
26.45,35.75,0.0
26.45,35.85,0.0
26.45,35.95,0.0
26.45,36.05,0.0
26.45,36.15,0.0
26.45,36.25,0.0
26.45,36.35,2.28706311e-06
26.45,36.45,6.9063274e-06
26.45,36.55,2.880866098e-05
26.45,36.65,5.345282329e-05
26.45,36.75,7.71723514e-05
26.45,36.85,0.0003046300314
26.45,36.95,0.0
26.45,37.05,0.0
26.45,37.15,0.0
26.45,37.25,0.0
26.45,37.35,0.0
26.45,37.45,0.0
26.45,37.55,0.0
26.45,37.65,0.0
26.45,37.75,0.0
26.45,37.85,0.0
26.45,37.95,0.0
26.45,38.05,0.0
26.45,38.15,0.0
26.45,38.25,0.0
26.45,38.35,0.0
26.45,38.45,0.0
26.45,38.55,0.0
26.45,38.65,0.0
26.55,35.35,0.0
26.55,35.45,0.0
26.55,35.55,0.0
26.55,35.65,0.0
26.55,35.75,0.0
26.55,35.85,0.0
26.55,35.95,0.0
26.55,36.05,6.346462866e-08
26.55,36.15,1.200439048e-06
26.55,36.25,1.806978954e-05
26.55,36.35,3.255792412e-05
26.55,36.45,6.699087544e-05
