# smlt_path=b11,gsimlt_path=b12_b22_b32,imt=SA,investigation_time=50.0,sa_period=2.0,sa_damping=5.0,lon=28.25,lat=36.85,poe=0.1,iml=0.1723835817
Dist,poe
5.0,0.00653876383
15.0,0.002012744195
25.0,0.01497056232
35.0,0.006547053405
45.0,0.007009043428
55.0,0.005201779403
65.0,0.006014737725
75.0,0.004765360141
85.0,0.006845284164
95.0,0.004855363078
105.0,0.005845373664
115.0,0.006588653164
125.0,0.004000126719
135.0,0.004957083373
145.0,0.00299335872
155.0,0.00315813694
165.0,0.0008085780269
175.0,0.001371477872
185.0,0.0002488873172
195.0,0.0009229882577
