# smlt_path=b11,gsimlt_path=b12_b22_b32,imt=SA,investigation_time=50.0,sa_period=2.0,sa_damping=5.0,lon=28.25,lat=36.85,poe=0.1,iml=0.1723835817
Lon,Lat,Mag,poe
26.35,36.25,6.875,0.0
26.35,36.25,7.125,0.0
26.35,36.25,7.375,0.0
26.35,36.25,7.625,0.0
26.35,36.25,7.875,0.0
26.35,36.25,8.125,0.0
26.35,36.25,8.375,0.0
26.35,36.35,5.125,0.0
26.35,36.35,5.375,0.0
26.35,36.35,5.625,0.0
26.35,36.35,5.875,0.0
26.35,36.35,6.125,0.0
26.35,36.35,6.375,0.0
26.35,36.35,6.625,0.0
26.35,36.35,6.875,0.0
26.35,36.35,7.125,0.0
26.35,36.35,7.375,0.0
26.35,36.35,7.625,0.0
26.35,36.35,7.875,0.0
26.35,36.35,8.125,0.0
26.35,36.35,8.375,0.0
26.35,36.45,5.125,0.0
26.35,36.45,5.375,0.0
26.35,36.45,5.625,0.0
26.35,36.45,5.875,0.0
26.35,36.45,6.125,0.0
26.35,36.45,6.375,0.0
26.35,36.45,6.625,0.0
26.35,36.45,6.875,0.0
26.35,36.45,7.125,0.0
26.35,36.45,7.375,0.0
26.35,36.45,7.625,0.0
26.35,36.45,7.875,0.0
26.35,36.45,8.125,0.0
26.35,36.45,8.375,0.0
26.35,36.55,5.125,0.0
26.35,36.55,5.375,0.0
26.35,36.55,5.625,0.0
26.35,36.55,5.875,0.0
26.35,36.55,6.125,0.0
26.35,36.55,6.375,0.0
26.35,36.55,6.625,6.913898154e-08
26.35,36.55,6.875,9.691369692e-07
26.35,36.55,7.125,0.0
26.35,36.55,7.375,0.0
26.35,36.55,7.625,0.0
26.35,36.55,7.875,0.0
26.35,36.55,8.125,0.0
26.35,36.55,8.375,0.0
26.35,36.65,5.125,0.0
26.35,36.65,5.375,0.0
26.35,36.65,5.625,0.0
26.35,36.65,5.875,0.0
26.35,36.65,6.125,0.0
26.35,36.65,6.375,0.0
26.35,36.65,6.625,1.517197669e-07
26.35,36.65,6.875,1.986344727e-06
26.35,36.65,7.125,2.113178914e-06
26.35,36.65,7.375,0.0
26.35,36.65,7.625,0.0
26.35,36.65,7.875,0.0
26.35,36.65,8.125,0.0
26.35,36.65,8.375,0.0
26.35,36.75,5.125,0.0
26.35,36.75,5.375,0.0
26.35,36.75,5.625,0.0
26.35,36.75,5.875,0.0
26.35,36.75,6.125,0.0
26.35,36.75,6.375,0.0
26.35,36.75,6.625,4.218391434e-07
26.35,36.75,6.875,3.860356665e-06
26.35,36.75,7.125,8.691114787e-06
26.35,36.75,7.375,0.0
26.35,36.75,7.625,0.0
26.35,36.75,7.875,0.0
26.35,36.75,8.125,0.0
26.35,36.75,8.375,0.0
26.35,36.85,5.125,0.0
26.35,36.85,5.375,0.0
26.35,36.85,5.625,0.0
26.35,36.85,5.875,0.0
26.35,36.85,6.125,0.0
26.35,36.85,6.375,0.0
26.35,36.85,6.625,8.619278891e-08
26.35,36.85,6.875,2.974013022e-06
26.35,36.85,7.125,1.009196142e-05
26.35,36.85,7.375,1.720841727e-05
26.35,36.85,7.625,1.138127277e-05
26.35,36.85,7.875,0.0
26.35,36.85,8.125,0.0
26.35,36.85,8.375,0.0
26.35,36.95,5.125,0.0
26.35,36.95,5.375,0.0
26.35,36.95,5.625,0.0
26.35,36.95,5.875,0.0
26.35,36.95,6.125,0.0
26.35,36.95,6.375,0.0
26.35,36.95,6.625,0.0
26.35,36.95,6.875,0.0
26.35,36.95,7.125,0.0
26.35,36.95,7.375,0.0
26.35,36.95,7.625,0.0
26.35,36.95,7.875,0.0
26.35,36.95,8.125,0.0
26.35,36.95,8.375,0.0
26.35,37.05,5.125,0.0
26.35,37.05,5.375,0.0
26.35,37.05,5.625,0.0
26.35,37.05,5.875,0.0
26.35,37.05,6.125,0.0
26.35,37.05,6.375,0.0
26.35,37.05,6.625,0.0
26.35,37.05,6.875,0.0
26.35,37.05,7.125,0.0
26.35,37.05,7.375,0.0
26.35,37.05,7.625,0.0
26.35,37.05,7.875,0.0
26.35,37.05,8.125,0.0
26.35,37.05,8.375,0.0
26.35,37.15,5.125,0.0
26.35,37.15,5.375,0.0
26.35,37.15,5.625,0.0
26.35,37.15,5.875,0.0
26.35,37.15,6.125,0.0
26.35,37.15,6.375,0.0
26.35,37.15,6.625,0.0
26.35,37.15,6.875,0.0
26.35,37.15,7.125,0.0
26.35,37.15,7.375,0.0
26.35,37.15,7.625,0.0
26.35,37.15,7.875,0.0
26.35,37.15,8.125,0.0
26.35,37.15,8.375,0.0
26.35,37.25,5.125,0.0
26.35,37.25,5.375,0.0
26.35,37.25,5.625,0.0
26.35,37.25,5.875,0.0
26.35,37.25,6.125,0.0
26.35,37.25,6.375,0.0
26.35,37.25,6.625,0.0
26.35,37.25,6.875,0.0
26.35,37.25,7.125,0.0
26.35,37.25,7.375,0.0
26.35,37.25,7.625,0.0
26.35,37.25,7.875,0.0
26.35,37.25,8.125,0.0
26.35,37.25,8.375,0.0
26.35,37.35,5.125,0.0
26.35,37.35,5.375,0.0
26.35,37.35,5.625,0.0
26.35,37.35,5.875,0.0
26.35,37.35,6.125,0.0
26.35,37.35,6.375,0.0
26.35,37.35,6.625,0.0
26.35,37.35,6.875,0.0
26.35,37.35,7.125,0.0
26.35,37.35,7.375,0.0
26.35,37.35,7.625,0.0
26.35,37.35,7.875,0.0
26.35,37.35,8.125,0.0
26.35,37.35,8.375,0.0
26.35,37.45,5.125,0.0
26.35,37.45,5.375,0.0
26.35,37.45,5.625,0.0
26.35,37.45,5.875,0.0
26.35,37.45,6.125,0.0
26.35,37.45,6.375,0.0
26.35,37.45,6.625,0.0
26.35,37.45,6.875,0.0
26.35,37.45,7.125,0.0
26.35,37.45,7.375,0.0
26.35,37.45,7.625,0.0
26.35,37.45,7.875,0.0
26.35,37.45,8.125,0.0
26.35,37.45,8.375,0.0
26.35,37.55,5.125,0.0
26.35,37.55,5.375,0.0
26.35,37.55,5.625,0.0
26.35,37.55,5.875,0.0
26.35,37.55,6.125,0.0
26.35,37.55,6.375,0.0
26.35,37.55,6.625,0.0
26.35,37.55,6.875,0.0
26.35,37.55,7.125,0.0
26.35,37.55,7.375,0.0
26.35,37.55,7.625,0.0
26.35,37.55,7.875,0.0
26.35,37.55,8.125,0.0
26.35,37.55,8.375,0.0
26.35,37.65,5.125,0.0
26.35,37.65,5.375,0.0
26.35,37.65,5.625,0.0
26.35,37.65,5.875,0.0
26.35,37.65,6.125,0.0
26.35,37.65,6.375,0.0
26.35,37.65,6.625,0.0
26.35,37.65,6.875,0.0
26.35,37.65,7.125,0.0
26.35,37.65,7.375,0.0
26.35,37.65,7.625,0.0
26.35,37.65,7.875,0.0
26.35,37.65,8.125,0.0
26.35,37.65,8.375,0.0
26.35,37.75,5.125,0.0
26.35,37.75,5.375,0.0
26.35,37.75,5.625,0.0
26.35,37.75,5.875,0.0
26.35,37.75,6.125,0.0
26.35,37.75,6.375,0.0
26.35,37.75,6.625,0.0
26.35,37.75,6.875,0.0
26.35,37.75,7.125,0.0
26.35,37.75,7.375,0.0
26.35,37.75,7.625,0.0
26.35,37.75,7.875,0.0
26.35,37.75,8.125,0.0
26.35,37.75,8.375,0.0
26.35,37.85,5.125,0.0
26.35,37.85,5.375,0.0
26.35,37.85,5.625,0.0
26.35,37.85,5.875,0.0
26.35,37.85,6.125,0.0
26.35,37.85,6.375,0.0
26.35,37.85,6.625,0.0
26.35,37.85,6.875,0.0
26.35,37.85,7.125,0.0
26.35,37.85,7.375,0.0
26.35,37.85,7.625,0.0
26.35,37.85,7.875,0.0
26.35,37.85,8.125,0.0
26.35,37.85,8.375,0.0
26.35,37.95,5.125,0.0
26.35,37.95,5.375,0.0
26.35,37.95,5.625,0.0
