# smlt_path=b11,gsimlt_path=b12_b22_b31,imt=SA,investigation_time=50.0,sa_period=2.0,sa_damping=5.0,lon=28.25,lat=36.85,poe=0.1,iml=0.1888716578
TRT,poe
Subduction Interface,0.022634125
Subduction IntraSlab,0.01373874099
Active Shallow Crust,0.05617984625
