# smlt_path=b11,gsimlt_path=b12_b22_b31,imt=SA,investigation_time=50.0,sa_period=2.0,sa_damping=5.0,lon=28.25,lat=36.85,poe=0.1,iml=0.1888716578
Mag,Dist,poe
5.25,5.0,4.600149913e-05
5.25,15.0,0.0
5.25,25.0,0.0
5.25,35.0,0.0
5.25,45.0,0.0
5.25,55.0,0.0
5.25,65.0,0.0
5.25,75.0,0.0
5.25,85.0,0.0
5.25,95.0,0.0
5.25,105.0,0.0
5.25,115.0,0.0
5.25,125.0,0.0
5.25,135.0,0.0
5.25,145.0,0.0
5.25,155.0,0.0
5.25,165.0,0.0
5.25,175.0,0.0
5.25,185.0,0.0
5.25,195.0,0.0
5.75,5.0,0.003737933995
5.75,15.0,0.0003927132824
5.75,25.0,1.491440532e-05
5.75,35.0,0.0
5.75,45.0,0.0
5.75,55.0,0.0
5.75,65.0,0.0
5.75,75.0,0.0
5.75,85.0,0.0
5.75,95.0,0.0
5.75,105.0,0.0
5.75,115.0,0.0
5.75,125.0,0.0
5.75,135.0,0.0
5.75,145.0,0.0
5.75,155.0,0.0
5.75,165.0,0.0
5.75,175.0,0.0
5.75,185.0,0.0
5.75,195.0,0.0
6.25,5.0,0.01109628568
6.25,15.0,0.0036248975
6.25,25.0,0.002558782126
6.25,35.0,0.0002842862534
6.25,45.0,2.268786444e-05
6.25,55.0,4.715802623e-06
6.25,65.0,0.0
6.25,75.0,0.0
6.25,85.0,0.0
6.25,95.0,0.0
6.25,105.0,0.0
6.25,115.0,0.0
6.25,125.0,0.0
6.25,135.0,0.0
6.25,145.0,0.0
6.25,155.0,0.0
6.25,165.0,0.0
6.25,175.0,0.0
6.25,185.0,0.0
6.25,195.0,0.0
6.75,5.0,0.007219110702
6.75,15.0,0.002962880995
6.75,25.0,0.004394651312
6.75,35.0,0.0003624880424
6.75,45.0,0.0003671319975
6.75,55.0,9.626325724e-05
6.75,65.0,5.736056242e-05
6.75,75.0,4.517884785e-05
6.75,85.0,2.959620289e-05
6.75,95.0,1.258379938e-05
6.75,105.0,4.827827646e-06
6.75,115.0,6.396633138e-07
6.75,125.0,0.0
6.75,135.0,0.0
6.75,145.0,0.0
6.75,155.0,0.0
6.75,165.0,0.0
6.75,175.0,0.0
6.75,185.0,0.0
6.75,195.0,0.0
7.25,5.0,0.005194084078
7.25,15.0,0.001486237496
7.25,25.0,0.003529077118
7.25,35.0,0.0007178879144
7.25,45.0,0.001417739352
7.25,55.0,0.0007251420374
7.25,65.0,0.0007108984454
7.25,75.0,0.0006595938519
7.25,85.0,0.0006598071768
7.25,95.0,0.0005135428504
7.25,105.0,0.0004034212748
7.25,115.0,0.0003983988154
7.25,125.0,0.0001757508647
7.25,135.0,0.000184703159
7.25,145.0,8.903041587e-05
7.25,155.0,0.0001029945381
7.25,165.0,3.586827291e-05
7.25,175.0,5.05630855e-05
7.25,185.0,2.379390935e-05
7.25,195.0,2.743534913e-05
7.75,5.0,0.003560374001
7.75,15.0,9.75677039e-05
7.75,25.0,0.00176323389
7.75,35.0,0.001435873811
7.75,45.0,0.001700963027
7.75,55.0,0.001290221408
7.75,65.0,0.001389387986
7.75,75.0,0.001065480901
7.75,85.0,0.001307721679
7.75,95.0,0.0009279653949
7.75,105.0,0.001013933546
7.75,115.0,0.001058633116
7.75,125.0,0.0005209414947
7.75,135.0,0.000568169527
7.75,145.0,0.0003736646609
7.75,155.0,0.0004534333878
7.75,165.0,0.0001757235838
7.75,175.0,0.0003019245568
7.75,185.0,0.0001038465035
7.75,195.0,0.000199961028
8.25,5.0,0.0010613605
8.25,15.0,1.889870625e-06
8.25,25.0,0.0008087171498
8.25,35.0,0.002794654568
8.25,45.0,0.001867972192
8.25,55.0,0.001616911884
8.25,65.0,0.001941814112
8.25,75.0,0.0008576356448
8.25,85.0,0.002017561657
8.25,95.0,0.0006368569906
8.25,105.0,0.00133767037
8.25,115.0,0.00169671263
8.25,125.0,0.0003909192841
8.25,135.0,0.001157267911
8.25,145.0,0.0002376387975
8.25,155.0,0.0009040009435
8.25,165.0,0.0001238161174
8.25,175.0,0.0006936413904
8.25,185.0,3.95716377e-05
8.25,195.0,0.0004355561704
