# smlt_path=b11,gsimlt_path=b12_b22_b31,imt=SA,investigation_time=50.0,sa_period=2.0,sa_damping=5.0,lon=28.25,lat=36.85,poe=0.1,iml=0.1888716578
Lon,Lat,Mag,poe
26.5,35.5,5.25,0.0
26.5,35.5,5.75,0.0
26.5,35.5,6.25,0.0
26.5,35.5,6.75,0.0
26.5,35.5,7.25,1.228325756e-05
26.5,35.5,7.75,0.0001314225852
26.5,35.5,8.25,0.0003716284614
26.5,36.5,5.25,0.0
26.5,36.5,5.75,0.0
26.5,36.5,6.25,0.0
26.5,36.5,6.75,4.253922843e-07
26.5,36.5,7.25,0.0005548628631
26.5,36.5,7.75,0.001810675165
26.5,36.5,8.25,0.001873017122
26.5,37.5,5.25,0.0
26.5,37.5,5.75,0.0
26.5,37.5,6.25,0.0
26.5,37.5,6.75,0.0
26.5,37.5,7.25,0.0
26.5,37.5,7.75,0.0
26.5,37.5,8.25,0.0
26.5,38.5,5.25,0.0
26.5,38.5,5.75,0.0
26.5,38.5,6.25,0.0
26.5,38.5,6.75,0.0
26.5,38.5,7.25,0.0
26.5,38.5,7.75,0.0
26.5,38.5,8.25,0.0
27.5,35.5,5.25,0.0
27.5,35.5,5.75,0.0
27.5,35.5,6.25,0.0
27.5,35.5,6.75,0.0
27.5,35.5,7.25,0.0003074537364
27.5,35.5,7.75,0.001189469167
27.5,35.5,8.25,0.002283477593
27.5,36.5,5.25,0.0
27.5,36.5,5.75,1.393554313e-06
27.5,36.5,6.25,0.0009390805956
27.5,36.5,6.75,0.001147432161
27.5,36.5,7.25,0.002812481646
27.5,36.5,7.75,0.004817508612
27.5,36.5,8.25,0.004972723894
27.5,37.5,5.25,0.0
27.5,37.5,5.75,0.0
27.5,37.5,6.25,9.417415013e-06
27.5,37.5,6.75,0.0001009044105
27.5,37.5,7.25,0.0001892883434
27.5,37.5,7.75,0.000354259498
27.5,37.5,8.25,0.000400947888
27.5,38.5,5.25,0.0
27.5,38.5,5.75,0.0
27.5,38.5,6.25,0.0
27.5,38.5,6.75,0.0
27.5,38.5,7.25,7.004670187e-07
27.5,38.5,7.75,0.0
27.5,38.5,8.25,0.0
28.5,35.5,5.25,0.0
28.5,35.5,5.75,0.0
28.5,35.5,6.25,0.0
28.5,35.5,6.75,0.0
28.5,35.5,7.25,0.0
28.5,35.5,7.75,0.0
28.5,35.5,8.25,0.0
28.5,36.5,5.25,4.600149913e-05
28.5,36.5,5.75,0.004137782015
28.5,36.5,6.25,0.01535134092
28.5,36.5,6.75,0.01245993226
28.5,36.5,7.25,0.01117286812
28.5,36.5,7.75,0.008707857074
28.5,36.5,8.25,0.007863040961
28.5,37.5,5.25,0.0
28.5,37.5,5.75,4.882568743e-06
28.5,37.5,6.25,0.00124347831
28.5,37.5,6.75,0.00179600777
28.5,37.5,7.25,0.00163580994
28.5,37.5,7.75,0.001047555804
28.5,37.5,8.25,0.0005699960522
28.5,38.5,5.25,0.0
28.5,38.5,5.75,0.0
28.5,38.5,6.25,0.0
28.5,38.5,6.75,0.0
28.5,38.5,7.25,1.126814488e-05
28.5,38.5,7.75,5.05234812e-05
28.5,38.5,8.25,6.748758315e-05
29.5,35.5,5.25,0.0
29.5,35.5,5.75,0.0
29.5,35.5,6.25,0.0
29.5,35.5,6.75,0.0
29.5,35.5,7.25,0.0
29.5,35.5,7.75,0.0
29.5,35.5,8.25,0.0
29.5,36.5,5.25,0.0
29.5,36.5,5.75,0.0
29.5,36.5,6.25,0.0
29.5,36.5,6.75,6.146157348e-06
29.5,36.5,7.25,0.0002024889956
29.5,36.5,7.75,0.0005711503748
29.5,36.5,8.25,0.001568370765
29.5,37.5,5.25,0.0
29.5,37.5,5.75,0.0
29.5,37.5,6.25,0.0
29.5,37.5,6.75,1.71825086e-06
29.5,37.5,7.25,0.000103182998
29.5,37.5,7.75,0.0003201014624
29.5,37.5,8.25,0.0002778598663
29.5,38.5,5.25,0.0
29.5,38.5,5.75,0.0
29.5,38.5,6.25,0.0
29.5,38.5,6.75,0.0
29.5,38.5,7.25,0.0
29.5,38.5,7.75,0.0
29.5,38.5,8.25,0.0
30.5,35.5,5.25,0.0
30.5,35.5,5.75,0.0
30.5,35.5,6.25,0.0
30.5,35.5,6.75,0.0
30.5,35.5,7.25,0.0
30.5,35.5,7.75,0.0
30.5,35.5,8.25,0.0
30.5,36.5,5.25,0.0
30.5,36.5,5.75,0.0
30.5,36.5,6.25,0.0
30.5,36.5,6.75,0.0
30.5,36.5,7.25,2.774771292e-05
30.5,36.5,7.75,0.0001603049267
30.5,36.5,8.25,0.0002478088974
30.5,37.5,5.25,0.0
30.5,37.5,5.75,0.0
30.5,37.5,6.25,0.0
30.5,37.5,6.75,0.0
30.5,37.5,7.25,3.05362008e-05
30.5,37.5,7.75,0.0001108917999
30.5,37.5,8.25,9.256191804e-05
30.5,38.5,5.25,0.0
30.5,38.5,5.75,0.0
30.5,38.5,6.25,0.0
30.5,38.5,6.75,0.0
30.5,38.5,7.25,0.0
30.5,38.5,7.75,0.0
30.5,38.5,8.25,0.0
